Date,Price,Open,High,Low,Volume,Chg%
22-Nov-20,"48,189","50,323","50,400","47,879",140.10K,-4.16%
15-Nov-20,"50,279","50,959","51,132","49,830",133.80K,-1.33%
8-Nov-20,"50,956","52,300","52,530","49,526",187.47K,-2.36%
1-Nov-20,"52,190","50,715","52,490","50,582",38.93K,3.06%
25-Oct-20,"50,641","50,686","51,111","50,122",99.07K,-0.35%
18-Oct-20,"50,820","50,609","51,398","50,271",117.11K,0.42%
11-Oct-20,"50,605","51,000","51,238","50,231",129.68K,-0.52%
4-Oct-20,"50,872","50,001","51,058","49,910",124.15K,1.05%
27-Sep-20,"50,345","49,499","50,650","49,212",9.82K,1.63%
20-Sep-20,"49,539","51,734","51,734","49,292",205.41K,-4.30%
13-Sep-20,"51,764","51,540","52,199","51,257",158.80K,0.72%
6-Sep-20,"51,393","50,855","51,889","50,714",162.16K,1.31%
30-Aug-20,"50,728","51,267","51,708","50,500",6.65K,-0.63%
23-Aug-20,"51,050","51,959","52,250","50,213",220.69K,-1.91%
16-Aug-20,"52,045","52,468","54,180","51,355",286.00K,-0.77%
9-Aug-20,"52,451","54,900","55,660","50,026",310.56K,-4.67%
2-Aug-20,"55,018","53,988","56,499","53,600",99.55K,2.68%
26-Jul-20,"53,582","51,700","54,000","51,351",127.69K,4.82%
19-Jul-20,"51,120","49,000","51,230","48,891",190.27K,4.32%
12-Jul-20,"49,001","48,920","49,299","48,755",171.49K,0.24%
5-Jul-20,"48,883","47,976","49,317","47,830",207.50K,1.13%
28-Jun-20,"48,336","48,420","49,304","47,970",4.86K,-0.06%
21-Jun-20,"48,363","47,999","48,431","47,726",174.85K,0.95%
14-Jun-20,"47,907","47,200","47,938","46,569",201.99K,1.23%
7-Jun-20,"47,325","45,800","47,630","45,772",209.92K,2.11%
31-May-20,"46,346","46,900","47,375","46,100",2.55K,-1.09%
24-May-20,"46,858","46,800","47,150","45,855",165.48K,-0.42%
17-May-20,"47,057","47,500","47,965","46,265",237.51K,-0.62%
10-May-20,"47,352","45,842","47,420","45,527",217.88K,3.34%
3-May-20,"45,820","45,403","46,343","44,768",132.54K,1.26%
26-Apr-20,"45,251","46,352","46,673","44,200",69.42K,-2.79%
19-Apr-20,"46,550","45,400","46,850","45,100",174.97K,1.52%
12-Apr-20,"45,855","45,499","47,290","45,400",119.06K,1.27%
5-Apr-20,"45,279","44,000","46,299","44,000",46.39K,2.21%
29-Mar-20,"44,298","43,200","44,400","42,800",1.34K,1.62%
22-Mar-20,"43,590","40,668","43,900","39,820",171.10K,7.85%
15-Mar-20,"40,419","40,802","41,291","38,419",358.17K,0.09%
8-Mar-20,"40,382","44,200","44,740","40,155",261.87K,-8.43%
1-Mar-20,"44,098","43,014","44,881","41,689",77.09K,5.59%
23-Feb-20,"41,763","42,750","43,585","41,248",122.22K,-1.76%
16-Feb-20,"42,511","40,826","42,571","40,660",100.06K,3.99%
9-Feb-20,"40,879","40,533","40,912","40,243",74.93K,0.78%
2-Feb-20,"40,563","41,249","41,315","39,750",36.07K,-1.09%
26-Jan-20,"41,012","40,400","41,161","40,023",58.83K,1.71%
19-Jan-20,"40,322","39,990","40,399","39,660",94.71K,1.01%
12-Jan-20,"39,920","39,801","39,959","39,280",88.95K,0.18%
5-Jan-20,"39,849","40,250","41,270","39,550",162.49K,-0.19%
29-Dec-19,"39,925","38,993","40,002","38,701",6.78K,2.43%
22-Dec-19,"38,978","37,999","38,995","37,999",52.08K,2.57%
15-Dec-19,"38,002","37,740","38,140","37,735",62.24K,0.60%
8-Dec-19,"37,776","37,774","38,044","37,400",77.07K,0.07%
1-Dec-19,"37,748","38,240","38,563","37,711",18.00K,-0.56%
24-Nov-19,"37,961","37,891","38,070","37,511",56.21K,0.09%
17-Nov-19,"37,927","37,943","38,325","37,810",112.05K,-0.20%
10-Nov-19,"38,002","37,710","38,295","37,532",91.13K,0.79%
3-Nov-19,"37,705","39,500","39,500","37,488",76.05K,-2.45%
27-Oct-19,"38,652","38,550","38,898","37,988",29.33K,0.76%
20-Oct-19,"38,362","38,098","38,690","37,900",71.08K,0.63%
13-Oct-19,"38,121","37,795","38,406","37,757",108.56K,0.75%
6-Oct-19,"37,839","38,225","38,434","37,736",94.07K,-0.43%
29-Sep-19,"38,002","37,600","38,215","36,750",21.19K,0.79%
22-Sep-19,"37,706","37,750","38,170","37,301",125.76K,0.10%
15-Sep-19,"37,669","37,749","38,188","37,437",113.39K,0.41%
8-Sep-19,"37,517","38,578","39,699","37,451",147.78K,-2.68%
1-Sep-19,"38,551","38,520","39,490","38,353",46.45K,0.66%
25-Aug-19,"38,300","38,550","38,998","38,224",109.49K,-0.15%
18-Aug-19,"38,357","37,340","38,426","37,270",107.59K,2.32%
11-Aug-19,"37,487","37,620","38,147","36,860",108.45K,-0.19%
4-Aug-19,"37,558","36,412","38,125","36,240",128.37K,5.19%
28-Jul-19,"35,705","34,839","35,840","34,430",40.97K,2.56%
21-Jul-19,"34,815","35,100","35,189","34,760",87.70K,-0.62%
14-Jul-19,"35,033","34,740","35,380","34,611",133.34K,0.63%
7-Jul-19,"34,812","34,550","34,995","34,300",138.57K,1.29%
30-Jun-19,"34,370","33,777","35,037","33,210",4.60K,1.25%
23-Jun-19,"33,947","34,100","34,599","33,777",91.66K,-0.04%
16-Jun-19,"33,960","33,015","34,297","32,826",101.96K,2.96%
9-Jun-19,"32,984","32,800","33,241","32,431",65.12K,0.36%
2-Jun-19,"32,867","32,147","32,944","32,113",41.46K,2.29%
26-May-19,"32,131","31,588","32,165","31,510",52.08K,1.83%
19-May-19,"31,554","31,777","31,777","31,101",63.37K,-0.80%
12-May-19,"31,809","31,900","32,538","31,785",96.39K,-0.34%
5-May-19,"31,917","31,495","32,049","31,495",75.68K,1.84%
28-Apr-19,"31,341","31,800","31,824","31,160",8.55K,-1.65%
21-Apr-19,"31,868","31,497","31,934","31,401",53.76K,1.48%
14-Apr-19,"31,403","31,710","31,791","31,355",38.54K,-1.12%
7-Apr-19,"31,760","31,795","32,197","31,638",63.76K,0.61%
31-Mar-19,"31,566","31,588","31,730","31,318",5.21K,-0.43%
24-Mar-19,"31,703","32,199","32,245","31,510",71.20K,-1.41%
17-Mar-19,"32,155","31,800","32,184","31,590",69.94K,0.95%
10-Mar-19,"31,853","32,214","32,330","31,768",68.71K,-1.00%
3-Mar-19,"32,174","32,394","33,440","31,800",48.46K,-1.10%
24-Feb-19,"32,533","33,385","33,466","31,915",36.54K,-2.51%
17-Feb-19,"33,369","33,333","33,877","33,190",53.93K,0.32%
10-Feb-19,"33,263","33,060","33,280","32,680",54.59K,0.42%
3-Feb-19,"33,125","34,247","34,400","32,910",27.85K,-0.84%
27-Jan-19,"33,405","32,383","33,500","32,383",47.27K,3.30%
20-Jan-19,"32,339","32,052","32,367","31,949",54.44K,0.78%
13-Jan-19,"32,089","32,050","32,363","31,963",63.15K,0.52%
6-Jan-19,"31,924","31,536","32,119","31,456",62.15K,0.77%
30-Dec-18,"31,679","31,452","32,686","31,284",7.91K,0.55%
23-Dec-18,"31,506","31,300","31,647","31,177",33.25K,1.22%
16-Dec-18,"31,126","31,369","31,650","30,914",47.79K,-0.99%
9-Dec-18,"31,437","31,459","31,966","31,337",47.37K,-0.01%
2-Dec-18,"31,440","30,322","31,480","30,257",23.51K,4.15%
25-Nov-18,"30,186","30,472","30,672","30,155",38.27K,-1.07%
18-Nov-18,"30,513","31,068","31,068","30,427",38.71K,-1.62%
11-Nov-18,"31,017","31,106","31,178","30,620",42.40K,-0.02%
4-Nov-18,"31,023","31,785","31,898","30,965",27.96K,-2.25%
28-Oct-18,"31,737","31,847","31,999","31,530",20.41K,-0.09%
21-Oct-18,"31,764","31,738","32,053","31,585",52.86K,0.09%
14-Oct-18,"31,737","31,723","32,075","31,635",46.78K,0.21%
7-Oct-18,"31,670","31,369","31,815","31,083",51.84K,1.40%
30-Sep-18,"31,233","30,399","31,288","30,376",2.52K,2.47%
23-Sep-18,"30,479","30,620","30,899","30,264",46.44K,-0.42%
16-Sep-18,"30,609","30,509","30,936","30,455",58.32K,0.51%
9-Sep-18,"30,453","30,549","30,779","30,401",57.15K,-0.18%
2-Sep-18,"30,509","30,075","30,693","30,062",25.89K,1.30%
26-Aug-18,"30,116","29,930","30,298","29,863",31.60K,0.78%
19-Aug-18,"29,882","29,388","29,900","29,350",31.54K,2.07%
12-Aug-18,"29,275","29,750","29,836","29,184",28.98K,-1.45%
5-Aug-18,"29,706","29,656","29,744","29,500",29.34K,-0.32%
29-Jul-18,"29,800","29,726","29,900","29,425",14.70K,-0.02%
22-Jul-18,"29,805","29,922","30,043","29,682",35.67K,-0.51%
15-Jul-18,"29,957","30,151","30,248","29,624",38.22K,-0.58%
8-Jul-18,"30,131","30,613","30,788","30,035",35.71K,-1.47%
1-Jul-18,"30,582","30,380","30,740","30,000",7.35K,0.72%
24-Jun-18,"30,363","30,500","30,648","30,288",27.31K,-0.44%
17-Jun-18,"30,498","30,799","30,899","30,367",30.74K,-0.99%
10-Jun-18,"30,804","31,070","31,195","30,755",38.15K,-0.88%
3-Jun-18,"31,076","30,650","31,196","30,580",23.15K,1.66%
27-May-18,"30,568","31,150","31,320","30,458",36.48K,-2.01%
20-May-18,"31,194","31,035","31,486","30,925",48.45K,0.32%
13-May-18,"31,093","31,450","31,544","30,852",49.06K,-1.29%
6-May-18,"31,500","31,125","31,545","31,075",44.35K,1.39%
29-Apr-18,"31,068","31,090","31,350","30,735",8.09K,-0.20%
22-Apr-18,"31,129","31,300","31,324","31,047",31.56K,-0.59%
15-Apr-18,"31,314","31,055","31,517","31,050",41.99K,1.00%
8-Apr-18,"31,005","30,600","31,422","30,556",57.58K,1.31%
1-Apr-18,"30,605","30,580","31,500","30,413",15.26K,0.59%
25-Mar-18,"30,426","30,840","30,915","30,403",28.55K,-1.54%
18-Mar-18,"30,901","30,222","30,947","30,129",57.03K,2.15%
11-Mar-18,"30,251","30,380","30,545","30,184",46.26K,-0.52%
4-Mar-18,"30,408","30,400","30,669","30,290",39.80K,-0.21%
25-Feb-18,"30,473","30,520","30,620","30,111",20.44K,-0.06%
18-Feb-18,"30,492","30,717","30,777","30,371",32.02K,-0.95%
11-Feb-18,"30,785","30,102","30,811","30,017",39.10K,2.62%
4-Feb-18,"29,999","30,385","30,650","29,783",41.29K,-1.32%
28-Jan-18,"30,399","30,285","30,817","29,960",23.38K,0.11%
21-Jan-18,"30,367","29,701","30,476","29,701",33.50K,2.10%
14-Jan-18,"29,743","29,590","29,884","29,501",36.99K,0.64%
7-Jan-18,"29,553","29,235","29,590","29,123",37.18K,0.30%
31-Dec-17,"29,465","29,332","29,550","29,275",3.86K,0.32%
24-Dec-17,"29,372","28,796","29,400","28,778",21.47K,2.14%
17-Dec-17,"28,757","28,492","28,790","28,470",29.90K,1.11%
10-Dec-17,"28,441","28,550","28,589","28,271",30.32K,-0.51%
3-Dec-17,"28,588","29,021","29,200","28,500",22.31K,-2.15%
26-Nov-17,"29,217","29,450","29,510","28,927",26.94K,-0.54%
19-Nov-17,"29,375","29,700","29,729","29,268",37.69K,-0.95%
12-Nov-17,"29,658","29,504","29,740","29,361",43.94K,0.51%
5-Nov-17,"29,508","29,130","29,700","29,130",42.80K,1.09%
29-Oct-17,"29,191","29,263","29,456","28,958",13.17K,-0.28%
22-Oct-17,"29,272","29,502","29,550","29,169",35.72K,-0.91%
15-Oct-17,"29,541","29,809","29,896","29,504",24.04K,-0.87%
8-Oct-17,"29,800","29,540","29,840","29,540",32.78K,0.98%
1-Oct-17,"29,510","29,420","29,540","29,258",13.12K,-0.13%
24-Sep-17,"29,549","29,580","30,195","29,430",51.21K,-0.20%
17-Sep-17,"29,608","29,845","29,845","29,450",49.10K,-0.87%
10-Sep-17,"29,869","30,187","30,187","29,775",56.55K,-1.33%
3-Sep-17,"30,271","30,187","30,470","29,800",40.70K,1.62%
27-Aug-17,"29,788","29,101","29,941","29,095",37.18K,2.41%
20-Aug-17,"29,086","29,050","29,248","28,716",37.66K,-0.08%
13-Aug-17,"29,109","29,100","29,380","28,727",40.39K,-0.17%
6-Aug-17,"29,158","28,332","29,300","28,283",46.65K,2.77%
30-Jul-17,"28,373","28,572","28,628","28,299",9.56K,-0.78%
23-Jul-17,"28,596","28,531","28,620","28,320",45.89K,0.19%
16-Jul-17,"28,541","28,050","28,559","28,050",46.16K,1.85%
9-Jul-17,"28,022","27,835","28,150","27,620",56.68K,0.76%
2-Jul-17,"27,812","28,300","28,300","27,754",32.34K,-1.71%
25-Jun-17,"28,295","28,302","28,660","28,168",36.31K,-1.23%
18-Jun-17,"28,648","28,593","28,782","28,403",38.89K,0.11%
11-Jun-17,"28,616","28,905","29,025","28,600",43.05K,-1.11%
4-Jun-17,"28,938","29,045","29,499","28,836",43.60K,-0.04%
28-May-17,"28,949","28,843","29,011","28,628",24.36K,0.35%
21-May-17,"28,847","28,590","28,930","28,568",49.94K,0.74%
14-May-17,"28,634","28,049","28,980","27,996",69.37K,2.19%
7-May-17,"28,019","28,145","28,255","27,945",46.43K,-0.59%
30-Apr-17,"28,184","28,834","28,868","28,025",2.36K,-2.38%
23-Apr-17,"28,872","29,290","29,290","28,671",44.85K,-1.90%
16-Apr-17,"29,432","29,389","29,540","29,200",49.94K,0.25%
9-Apr-17,"29,358","28,651","29,393","28,560",41.04K,2.47%
2-Apr-17,"28,650","28,607","29,064","28,535",24.41K,0.13%
26-Mar-17,"28,612","28,850","28,985","28,480",38.25K,-0.68%
19-Mar-17,"28,809","28,580","28,993","28,391",52.88K,0.98%
12-Mar-17,"28,528","28,436","28,594","27,932",46.58K,0.39%
5-Mar-17,"28,417","29,100","29,218","28,305",52.25K,-3.48%
26-Feb-17,"29,442","29,575","30,079","29,051",19.28K,-0.58%
19-Feb-17,"29,613","29,330","29,635","29,088",44.00K,0.87%
12-Feb-17,"29,359","29,116","29,438","28,880",52.61K,0.56%
5-Feb-17,"29,195","28,965","29,445","28,875",57.40K,0.10%
29-Jan-17,"29,166","28,479","29,494","28,420",19.70K,2.52%
22-Jan-17,"28,449","28,798","28,920","28,171",38.37K,-0.82%
15-Jan-17,"28,685","28,564","28,875","28,515",54.76K,0.86%
8-Jan-17,"28,440","28,080","28,565","27,903",58.50K,1.72%
1-Jan-17,"27,960","27,673","28,925","27,670",15.46K,0.94%
25-Dec-16,"27,700","27,170","27,889","27,101",35.85K,1.89%
18-Dec-16,"27,186","27,400","27,420","26,980",44.93K,-0.45%
11-Dec-16,"27,308","27,670","27,927","27,021",55.13K,-1.42%
4-Dec-16,"27,701","28,435","28,530","27,671",36.52K,-2.62%
27-Nov-16,"28,445","28,980","29,068","27,951",28.05K,-0.79%
20-Nov-16,"28,671","29,039","29,295","28,331",45.44K,-1.15%
13-Nov-16,"29,005","29,351","29,797","28,838",49.27K,-1.55%
6-Nov-16,"29,461","30,515","31,407","29,333",108.45K,-4.00%
30-Oct-16,"30,689","30,120","30,804","30,001",6.66K,1.85%
23-Oct-16,"30,131","29,910","30,181","29,710",47.72K,0.65%
16-Oct-16,"29,936","29,651","30,049","29,584",45.18K,1.01%
9-Oct-16,"29,638","29,700","29,900","29,454",41.43K,0.16%
2-Oct-16,"29,591","30,841","31,000","29,355",35.90K,-3.97%
25-Sep-16,"30,814","31,251","31,369","30,767",53.81K,-1.51%
18-Sep-16,"31,288","30,941","31,373","30,800",61.08K,1.42%
11-Sep-16,"30,851","31,332","31,332","30,831",55.58K,-1.31%
4-Sep-16,"31,261","31,000","31,482","30,960",54.17K,1.17%
28-Aug-16,"30,900","31,000","31,115","30,610",25.17K,-0.40%
21-Aug-16,"31,023","31,310","31,428","30,884",62.38K,-1.09%
14-Aug-16,"31,365","31,120","31,466","31,120",52.79K,0.92%
7-Aug-16,"31,080","31,031","31,400","30,863",72.90K,0.98%
31-Jul-16,"30,779","31,000","31,439","30,738",7.35K,-1.03%
24-Jul-16,"31,099","30,701","31,180","30,620",79.00K,0.99%
17-Jul-16,"30,794","30,850","31,050","30,553",86.64K,-0.41%
10-Jul-16,"30,922","31,750","31,888","30,711",104.92K,-2.32%
3-Jul-16,"31,657","31,390","32,350","30,500",67.62K,1.87%
26-Jun-16,"31,077","31,192","31,387","30,812",63.75K,-0.17%
19-Jun-16,"31,131","30,262","32,357","29,641",129.65K,2.50%
12-Jun-16,"30,373","29,894","30,985","29,894",105.75K,1.75%
5-Jun-16,"29,851","29,287","29,900","29,062",75.90K,2.17%
29-May-16,"29,216","28,430","29,410","28,400",27.11K,2.19%
22-May-16,"28,590","29,694","29,745","28,547",110.61K,-3.71%
15-May-16,"29,693","30,075","30,245","29,632",114.73K,-1.10%
8-May-16,"30,023","30,312","30,312","29,622",122.17K,-1.13%
1-May-16,"30,366","30,177","30,400","29,832",37.64K,0.76%
24-Apr-16,"30,138","29,050","30,192","28,981",80.66K,4.14%
17-Apr-16,"28,941","28,950","29,670","28,901",97.72K,0.08%
10-Apr-16,"28,918","29,099","29,395","28,705",84.21K,-0.44%
3-Apr-16,"29,047","28,096","29,074","28,032",68.54K,3.53%
27-Mar-16,"28,056","28,452","28,692","27,955",83.09K,-1.76%
20-Mar-16,"28,560","29,102","29,337","28,450",97.89K,-1.97%
13-Mar-16,"29,135","29,449","29,590","28,885",151.75K,-1.25%
6-Mar-16,"29,504","29,875","30,147","29,088",176.47K,-0.05%
28-Feb-16,"29,519","29,236","29,983","28,960",21.05K,0.78%
21-Feb-16,"29,290","29,340","29,884","28,762",126.40K,-0.48%
14-Feb-16,"29,432","29,251","29,547","28,111",120.89K,0.50%
7-Feb-16,"29,287","27,496","30,000","27,496",145.66K,6.24%
31-Jan-16,"27,568","26,755","28,113","26,645",5.37K,3.22%
24-Jan-16,"26,709","26,170","26,900","26,170",63.50K,2.07%
17-Jan-16,"26,168","26,073","26,661","25,873",112.49K,0.16%
10-Jan-16,"26,126","26,075","26,220","25,530",111.96K,0.53%
3-Jan-16,"25,989","25,234","26,130","25,030",74.09K,4.19%
27-Dec-15,"24,943","25,136","25,243","24,880",38.38K,-0.81%
20-Dec-15,"25,147","25,067","25,335","24,992",43.43K,0.54%
13-Dec-15,"25,011","25,518","25,539","24,671",76.74K,-2.23%
6-Dec-15,"25,581","25,589","25,637","25,162",64.64K,-0.20%
29-Nov-15,"25,631","24,961","25,750","24,803",14.41K,2.23%
22-Nov-15,"25,071","25,235","25,395","24,981",57.60K,-0.72%
15-Nov-15,"25,252","25,488","25,740","24,978",83.87K,-0.54%
8-Nov-15,"25,388","25,619","25,780","25,223",48.28K,-0.59%
1-Nov-15,"25,538","26,450","26,450","25,126",24.10K,-3.10%
25-Oct-15,"26,355","26,750","27,033","26,281",51.20K,-1.20%
18-Oct-15,"26,676","26,950","27,080","26,602",61.87K,-1.31%
